Date,Open,High,Low,Close,Volume
2-Aug-17,2431.94,2434.47,2424.18,2427.63,261569000
1-Aug-17,2397.12,2432.62,2394.27,2422.96,264036000
31-Jul-17,2392.02,2403.90,2388.39,2402.71,277570000
28-Jul-17,2433.46,2434.38,2399.06,2400.99,318651000
27-Jul-17,2443.28,2448.24,2435.49,2443.24,426497000
26-Jul-17,2446.82,2446.96,2429.62,2434.51,336108000
25-Jul-17,2450.76,2453.17,2437.14,2439.90,275199000
24-Jul-17,2451.41,2451.53,2443.65,2451.53,233407000
21-Jul-17,2438.78,2451.59,2437.84,2450.06,250131000
20-Jul-17,2436.06,2443.69,2427.95,2441.84,251916000
19-Jul-17,2430.09,2430.09,2419.64,2429.94,270965000
18-Jul-17,2425.07,2426.16,2419.17,2426.04,260661000
17-Jul-17,2427.76,2430.34,2419.91,2425.10,254205000
14-Jul-17,2418.27,2421.48,2411.34,2414.63,258765000
13-Jul-17,2405.76,2422.26,2402.92,2409.49,289260000
12-Jul-17,2395.41,2399.28,2390.45,2391.77,268926000
11-Jul-17,2386.42,2396.46,2382.69,2396.00,284462000
10-Jul-17,2386.30,2389.87,2378.04,2382.10,296262000
7-Jul-17,2376.29,2385.02,2372.83,2379.87,314370000
6-Jul-17,2390.31,2392.50,2380.82,2387.81,301472000
5-Jul-17,2377.01,2390.29,2375.63,2388.35,333721000
4-Jul-17,2395.24,2398.02,2376.41,2380.52,411776000
3-Jul-17,2397.66,2399.90,2384.55,2394.48,310991000
30-Jun-17,2382.15,2391.81,2381.40,2391.79,343529000
29-Jun-17,2396.81,2402.80,2393.57,2395.66,445131000
28-Jun-17,2382.91,2390.89,2380.75,2382.56,361176000
27-Jun-17,2386.76,2397.14,2383.47,2391.95,358034000
26-Jun-17,2381.09,2390.70,2377.88,2388.66,325674000
23-Jun-17,2371.54,2380.94,2369.17,2378.60,256259000
22-Jun-17,2364.22,2370.39,2354.10,2370.37,299232000
21-Jun-17,2358.23,2359.97,2346.19,2357.53,360344000
20-Jun-17,2382.54,2382.54,2365.45,2369.23,360733000
19-Jun-17,2364.02,2377.20,2356.84,2370.90,290944000
16-Jun-17,2364.20,2365.37,2355.29,2361.83,329179000
15-Jun-17,2373.36,2378.04,2350.37,2361.65,334886000
14-Jun-17,2384.54,2387.29,2366.92,2372.64,392997000
13-Jun-17,2358.92,2375.81,2358.92,2374.70,322081000
12-Jun-17,2370.69,2374.70,2353.35,2357.87,327233000
9-Jun-17,2371.22,2385.15,2367.81,2381.69,520558000
8-Jun-17,2361.64,2365.52,2347.62,2363.57,417080000
7-Jun-17,2364.96,2369.43,2356.71,2360.14,376207000
5-Jun-17,2376.66,2376.83,2363.61,2368.62,326411000
2-Jun-17,2353.77,2372.65,2353.45,2371.72,399499000
1-Jun-17,2348.31,2351.31,2335.63,2344.61,336690000
31-May-17,2339.25,2355.23,2338.25,2347.38,555939000
30-May-17,2356.54,2358.69,2332.16,2343.68,508844000
29-May-17,2362.59,2371.67,2344.25,2352.97,316177000
26-May-17,2344.39,2364.80,2341.61,2355.30,312902000
25-May-17,2325.49,2343.72,2321.26,2342.93,369280000
24-May-17,2319.37,2322.54,2312.93,2317.34,409559000
23-May-17,2308.69,2326.57,2303.15,2311.74,341085000
22-May-17,2300.68,2305.21,2292.95,2304.03,340061000
19-May-17,2286.78,2293.82,2282.13,2288.48,421133000
18-May-17,2271.27,2288.85,2267.08,2286.82,378315000
17-May-17,2291.56,2295.87,2283.01,2293.08,394821000
16-May-17,2306.73,2309.00,2283.84,2295.33,368138000
15-May-17,2288.23,2297.31,2280.60,2290.65,251594000
12-May-17,2296.06,2296.51,2283.38,2286.02,335337000
11-May-17,2278.47,2297.67,2271.66,2296.37,463460000
10-May-17,2294.10,2323.22,2264.31,2270.12,422888000
8-May-17,2245.61,2292.76,2244.23,2292.76,281761000
4-May-17,2224.91,2241.24,2224.91,2241.24,261918000
2-May-17,2213.61,2229.74,2212.87,2219.67,295139000
28-Apr-17,2214.36,2217.04,2202.20,2205.44,268642000
27-Apr-17,2201.72,2211.59,2199.76,2209.46,386106000
26-Apr-17,2202.37,2210.61,2200.73,2207.84,397525000
25-Apr-17,2175.70,2196.85,2174.11,2196.85,275897000
24-Apr-17,2175.50,2177.89,2166.83,2173.74,374713000
21-Apr-17,2161.24,2169.46,2156.64,2165.04,281540000
20-Apr-17,2138.19,2150.43,2134.05,2149.15,268315000
19-Apr-17,2144.98,2148.03,2133.82,2138.40,344221000
18-Apr-17,2155.36,2155.36,2139.31,2148.46,291399000
17-Apr-17,2140.87,2150.70,2138.70,2145.76,259303000
14-Apr-17,2138.28,2141.61,2127.80,2134.88,383688000
13-Apr-17,2130.64,2148.61,2125.87,2148.61,357582000
12-Apr-17,2128.17,2129.82,2122.94,2128.91,427358000
11-Apr-17,2129.23,2136.55,2117.82,2123.85,489309000
10-Apr-17,2148.83,2148.83,2128.35,2133.32,512916000
7-Apr-17,2154.87,2155.70,2142.51,2151.73,408456000
6-Apr-17,2152.64,2153.83,2143.30,2152.75,510164000
5-Apr-17,2161.90,2164.85,2146.98,2160.85,571691000
4-Apr-17,2165.23,2166.94,2156.89,2161.10,522093000
3-Apr-17,2166.04,2171.33,2161.26,2167.51,398513000
31-Mar-17,2166.62,2166.93,2159.80,2160.23,441640000
30-Mar-17,2170.18,2174.16,2159.16,2164.64,643563000
29-Mar-17,2172.31,2172.31,2162.04,2166.98,626792000
28-Mar-17,2166.58,2169.14,2157.71,2163.31,393970000
27-Mar-17,2161.17,2165.25,2153.14,2155.66,395862000
24-Mar-17,2171.36,2179.34,2163.34,2168.95,358673000
23-Mar-17,2174.09,2182.42,2170.56,2172.72,358607000
22-Mar-17,2159.97,2170.00,2158.96,2168.30,394425000
21-Mar-17,2162.95,2181.99,2160.25,2178.38,303940000
20-Mar-17,2160.32,2160.57,2151.51,2157.01,264946000
17-Mar-17,2150.47,2164.59,2148.86,2164.58,302788000
16-Mar-17,2154.98,2156.85,2143.01,2150.08,402424000
15-Mar-17,2128.42,2135.38,2127.26,2133.00,374699000
14-Mar-17,2127.12,2135.50,2124.42,2133.78,365074000
13-Mar-17,2102.37,2122.88,2100.91,2117.59,382129000
10-Mar-17,2088.67,2102.05,2082.31,2097.35,500860000
9-Mar-17,2098.29,2100.08,2090.73,2091.06,408229000
8-Mar-17,2092.27,2101.56,2088.19,2095.41,381441000
7-Mar-17,2080.77,2096.79,2079.16,2094.05,277830000
6-Mar-17,2073.20,2083.80,2067.68,2081.36,431445000
3-Mar-17,2090.92,2091.59,2072.09,2078.75,425935000
2-Mar-17,2105.19,2112.58,2096.31,2102.65,434713000
28-Feb-17,2087.26,2094.41,2084.36,2091.64,399821000
27-Feb-17,2095.47,2097.24,2084.08,2085.52,343702000
24-Feb-17,2106.43,2107.83,2090.05,2094.12,385394000
23-Feb-17,2106.15,2108.99,2103.11,2107.63,430850000
22-Feb-17,2106.42,2108.98,2101.56,2106.61,312219000
21-Feb-17,2085.97,2108.48,2085.00,2102.93,292539000
20-Feb-17,2084.16,2085.59,2077.13,2084.39,297203000
17-Feb-17,2072.57,2081.18,2072.57,2080.58,301517000
16-Feb-17,2088.09,2092.59,2078.35,2081.84,330466000
15-Feb-17,2073.60,2087.69,2069.89,2083.86,338044000
14-Feb-17,2079.30,2081.59,2068.16,2074.57,332365000
13-Feb-17,2074.94,2078.66,2070.36,2078.65,289684000
10-Feb-17,2075.80,2080.74,2072.23,2075.08,314676000
9-Feb-17,2067.15,2072.69,2062.12,2065.88,236008000
8-Feb-17,2072.58,2072.58,2052.29,2065.08,266722000
7-Feb-17,2077.80,2079.23,2071.05,2075.21,271809000
6-Feb-17,2085.73,2088.37,2073.03,2077.66,315315000
3-Feb-17,2075.90,2079.85,2064.05,2073.16,392584000
2-Feb-17,2080.23,2092.45,2067.76,2071.01,825477000
1-Feb-17,2075.31,2082.70,2073.97,2080.48,452528000
31-Jan-17,2077.66,2079.97,2067.57,2067.57,288275000
26-Jan-17,2074.77,2088.60,2068.50,2083.59,257921000
